exercise,130,155,180,205
"Cycling, mountain bike, bmx",502,598,695,791
"Cycling, <10 mph, leisure bicycling",236,281,327,372
"Cycling, >20 mph, racing",944,1126,1308,1489
"Cycling, 10-11.9 mph, light",354,422,490,558
"Cycling, 12-13.9 mph, moderate",472,563,654,745
"Cycling, 14-15.9 mph, vigorous",590,704,817,931
"Cycling, 16-19 mph, very fast, racing",708,844,981,1117
Unicycling,295,352,409,465
"Stationary cycling, very light",177,211,245,279
"Stationary cycling, light",325,387,449,512
"Stationary cycling, moderate",413,493,572,651
"Stationary cycling, vigorous",620,739,858,977
"Stationary cycling, very vigorous",738,880,1022,1163
"Calisthenics, vigorous, pushups, situps…",472,563,654,745
"Calisthenics, light",207,246,286,326
"Circuit training, minimal rest",472,563,654,745
"Weight lifting, body building, vigorous",354,422,490,558
"Weight lifting, light workout",177,211,245,279
Health club exercise,325,387,449,512
Stair machine,531,633,735,838
"Rowing machine, light",207,246,286,326
"Rowing machine, moderate",413,493,572,651
"Rowing machine, vigorous",502,598,695,791
"Rowing machine, very vigorous",708,844,981,1117
Ski machine,413,493,572,651
"Aerobics, low impact",295,352,409,465
"Aerobics, high impact",413,493,572,651
"Aerobics, step aerobics",502,598,695,791
"Aerobics, general",384,457,531,605
Jazzercise,354,422,490,558
"Stretching, hatha yoga",236,281,327,372
Mild stretching,148,176,204,233
Instructing aerobic class,354,422,490,558
Water aerobics,236,281,327,372
"Ballet, twist, jazz, tap",266,317,368,419
"Ballroom dancing, slow",177,211,245,279
"Ballroom dancing, fast",325,387,449,512
"Running, 5 mph (12 minute mile)",472,563,654,745
"Running, 5.2 mph (11.5 minute mile)",531,633,735,838
"Running, 6 mph (10 min mile)",590,704,817,931
"Running, 6.7 mph (9 min mile)",649,774,899,1024
"Running, 7 mph (8.5 min mile)",679,809,940,1070
"Running, 7.5mph (8 min mile)",738,880,1022,1163
"Running, 8 mph (7.5 min mile)",797,950,1103,1256
"Running, 8.6 mph (7 min mile)",826,985,1144,1303
"Running, 9 mph (6.5 min mile)",885,1056,1226,1396
"Running, 10 mph (6 min mile)",944,1126,1308,1489
"Running, 10.9 mph (5.5 min mile)",1062,1267,1471,1675
"Running, cross country",531,633,735,838
"Running, general",472,563,654,745